0,1,2,3,4,5,6,7,8,9
claim,read,learn,medium,friend,colleague,world,discover,news,internet
world,family,willing,discover,friend,view,earth,system,time,day
discover,news,mention,report,tv,claim,radio,reveal,tell,expert
world,internet,discover,news,forum,claim,population,access,report,city
friend,day,average,earth,internet,time,forum,human,spend,study
system,solar,friend,planet,moon,hot,subway,dwarf,wind,forum
internet,forum,day,earth,average,read,moon,spend,planet,solar
read,willing,human,internet,family,colleague,forum,people,wager,grow
read,world,medium,mention,earth,friend,social,day,time,study
earth,large,moon,tree,news,learn,claim,website,discussion,living
view,point,human,grow,earth,size,sleep,car,use,sneeze
human,family,news,body,claim,brain,average,website,read,system
claim,family,website,view,news,car,discussion,point,good,read
car,moon,average,mph,use,mile,medium,month,radio,drive
family,year,medium,sleep,people,social,discover,car,old,news
year,colleague,website,old,sleep,grow,car,friend,discussion,new
year,time,old,grow,family,good,size,planet,new,find
view,willing,point,wager,bet,claim,grow,discover,tall,social
people,news,number,reveal,tooth,sleep,fear,planet,total,different
news,reveal,moon,good,report,year,mention,grow,tell,population
large,grow,reveal,average,brain,number,news,find,report,spend
grow,number,people,fingernail,size,website,business,long,space,banana
car,long,size,planet,drive,earth,record,people,mph,mile
tall,reveal,family,island,tree,tower,friend,mar,colleague,water
good,single,fly,bird,type,baby,cat,sleep,mention,luck
news,mobile,phone,use,bird,colleague,fly,type,common,social
brain,mobile,website,phone,use,mention,fly,body,weight,report
american,news,basketball,time,mar,weight,game,brain,player,water
island,time,tall,country,eye,new,tower,car,type,people
island,mar,water,live,old,number,find,sea,website,believe
water,saturn,drive,eye,time,mph,brain,date,rain,dense
fly,bird,high,instrument,car,american,play,person,musical,population
american,basketball,island,game,letter,player,people,sport,worth,start
take,brain,sun,birth,body,common,weight,banana,second,tower
person,american,eye,single,basketball,birth,discussion,mobile,baby,record
taste,old,number,single,mobile,dog,food,smell,phone,day
website,active,population,eye,tell,person,medium,opinion,discover,instrument
opinion,large,size,water,number,sun,tower,taste,diamond,find
opinion,snake,number,person,business,own,island,population,predict,rain
letter,blue,appear,mar,old,state,foot,eye,average,mile
opinion,mar,single,type,use,fast,water,live,good,banana
opinion,claim,old,people,record,space,size,type,moon,time
population,taste,water,opinion,saturn,space,discussion,smell,access,flight
mention,old,opinion,hold,fly,tree,news,foot,grow,pound
mention,news,letter,large,new,periodic,learn,taste,appear,sleep
letter,common,play,olympic,opinion,event,appear,date,birth,single
cat,pound,hold,taste,contain,claim,tooth,reveal,record,position
space,fast,population,discussion,travel,blue,eye,earth,land,common
fast,blue,mar,find,space,taste,instrument,time,flight,phone
space,banana,bear,child,sound,fear,artificial,type,understanding,extinct
bear,understand,child,dog,fear,word,saturday,hand,water,gesture
letter,common,discussion,drive,old,appear,impression,tell,periodic,fly
hold,pound,sleep,baby,contain,mar,understand,space,position,dolphin
olympic,event,summer,watch,past,produce,pineapple,hold,discussion,understanding
discussion,impression,band,play,water,discover,single,music,help,taste
french,understanding,food,wild,individual,take,live,month,discussion,illegal
impression,drive,blue,work,create,mile,hear,basketball,petabyte,hypothesis
understanding,impression,smell,contain,flight,sense,old,pound,take,time
impression,contain,fast,individual,ball,claim,find,olympic,event,land
impression,pineapple,produce,understanding,plant,set,hold,sell,name,report
feeling,rain,cat,space,pineapple,take,produce,diamond,second,snow
understand,find,second,word,believe,position,hand,mile,gesture,lightning
position,claim,understanding,space,letter,water,locate,report,people,create
space,snake,discussion,french,old,predict,rain,tall,impression,radio
position,rain,impression,total,live,hold,wild,diamond,egg,large
position,space,believe,own,ship,business,set,individual,pineapple,discussion
thinking,sentiment,water,hypothesis,banana,business,hold,own,average,weight
sentiment,position,belief,contain,feeling,create,single,pound,water,mile
feeling,believe,tree,access,mile,find,common,rain,thinking,help
belief,hypothesis,thinking,planet,large,believe,single,wild,month,live
sentiment,reasoning,high,tooth,individual,claim,single,access,ship,total
thinking,contain,equal,egg,comet,begin,pressure,side,seed,tell
thinking,reasoning,report,believe,hypothesis,set,locate,fast,find,grow
hypothesis,feeling,contain,new,child,predict,body,heart,flight,country
reasoning,hypothesis,fear,begin,eye,comet,cat,dolphin,hold,sport
reasoning,feeling,thinking,banana,country,product,feel,snake,predict,heart
reasoning,believe,smell,produce,find,sleep,letter,know,french,make
report,belief,equal,locate,sentiment,egg,total,side,pressure,apply
thinking,different,cat,tooth,report,contain,get,hypothesis,understand,subway
report,reasoning,sport,ball,wild,create,planet,equal,impression,own
feel,believe,report,convince,lake,individual,home,sell,bright,understand
banana,hypothesis,fear,comet,belief,report,dog,wild,begin,high
think,convince,land,ship,long,report,bubble,help,animal,cruise
think,feel,believe,fear,wild,month,person,mile,tree,early
feel,pineapple,radio,name,make,bubble,pinecone,sentiment,plant,bear
banana,ship,cruise,passenger,report,feel,operate,berry,second,produce
lake,believe,passenger,person,bright,reasoning,tooth,tongue,report,big
comet,see,understand,ball,neptune,contain,begin,banana,high,fly
come,heart,worth,take,word,japanese,sport,squirrel,plant,net
understand,fear,convince,weight,lake,island,create,shape,french,record
radio,think,believe,produce,begin,taste,comet,introduce,year,dolphin
think,tongue,stick,crocodile,print,find,high,online,life,snow
convince,come,japanese,tongue,lake,word,person,king,tv,mined
convince,radio,pound,squirrel,child,planet,online,diamond,use,quintillion
neptune,second,mph,size,social,seed,individual,tv,wind,train
lake,bright,heart,king,radio,understand,raven,parrot,speak,land
convince,radio,heart,find,neptune,band,take,sell,flight,blue
lake,tongue,bright,land,ship,drive,airport,locate,radio,new
tongue,print,passenger,radio,crocodile,diamond,weight,ant,sale,come
passenger,wager,locate,article,believe,come,train,name,national,birth
